user_id,state,age,gender,caste,residential,annual_salary,occupation,minority,marital_status,disability
1,Madhya Pradesh,18,Other,SC,Rural,13641,Student,No,Unmarried,Yes
2,Telangana,23,Other,General,Rural,132475,Farmer,No,Married,No
3,Uttar Pradesh,18,Male,General,Urban,347863,Employed,No,Married,Yes
4,Rajasthan,42,Other,OBC,Rural,81148,Farmer,No,Married,No
5,Telangana,42,Female,SC,Urban,814839,Government Employee,No,Unmarried,Yes
6,Madhya Pradesh,32,Female,SC,Rural,17778,Farmer,No,Married,No
7,Andhra Pradesh,40,Male,OBC,Rural,62987,Farmer,No,Married,Yes
8,Telangana,42,Female,ST,Rural,167772,Farmer,No,Married,Yes
9,Uttar Pradesh,43,Other,SC,Urban,433970,Employed,No,Married,No
10,Uttar Pradesh,59,Other,General,Rural,262196,Self-employed,No,Married,No
11,Madhya Pradesh,43,Male,General,Urban,331586,Employed,No,Married,Yes
12,Uttar Pradesh,45,Other,ST,Rural,80691,Farmer,No,Married,No
13,Telangana,25,Female,SC,Urban,1226108,Employed,No,Married,Yes
14,Bihar,30,Male,General,Rural,132061,Farmer,No,Widowed,Yes
15,Rajasthan,50,Other,OBC,Urban,378474,Employed,No,Married,Yes
16,Telangana,30,Male,OBC,Urban,1942813,Employed,No,Widowed,Yes
17,Uttar Pradesh,49,Other,SC,Rural,159509,Farmer,Yes,Married,No
18,Telangana,56,Other,ST,Urban,55521,Farmer,No,Married,Yes
19,Madhya Pradesh,60,Male,OBC,Rural,97618,Farmer,No,Married,Yes
20,Maharashtra,53,Male,OBC,Rural,69273,Farmer,No,Married,Yes
21,Maharashtra,22,Male,SC,Urban,820810,Employed,No,Married,No
22,Uttar Pradesh,30,Female,General,Urban,1185588,Employed,No,Married,Yes
23,Madhya Pradesh,64,Female,SC,Rural,24347,Farmer,Yes,Married,Yes
24,Andhra Pradesh,33,Other,ST,Rural,17784,Farmer,No,Married,Yes
25,Maharashtra,33,Male,SC,Urban,1462155,Government Employee,No,Married,Yes
26,Andhra Pradesh,34,Other,SC,Urban,1661881,Government Employee,No,Widowed,No
27,Uttar Pradesh,21,Male,ST,Rural,113706,Farmer,No,Married,No
28,Telangana,50,Male,ST,Rural,48712,Farmer,Yes,Married,No
29,Maharashtra,20,Female,ST,Rural,131876,Farmer,No,Married,No
30,Uttar Pradesh,43,Male,OBC,Rural,135371,Farmer,No,Married,Yes
31,Andhra Pradesh,31,Male,SC,Urban,31249,Farmer,No,Married,No
32,Bihar,52,Other,ST,Urban,112242,Farmer,No,Married,Yes
33,Madhya Pradesh,30,Other,OBC,Rural,72422,Daily Wage Worker,No,Widowed,Yes
34,Bihar,63,Female,OBC,Rural,126156,Farmer,No,Married,No
35,Rajasthan,45,Other,SC,Rural,10401,Farmer,No,Married,No
36,Uttar Pradesh,45,Male,General,Rural,267692,Employed,No,Married,Yes
37,Rajasthan,27,Male,OBC,Rural,84474,Self-employed,No,Married,No
38,Uttar Pradesh,40,Male,ST,Urban,85223,Farmer,No,Married,Yes
39,Rajasthan,19,Other,ST,Urban,716978,Employed,No,Married,Yes
40,Bihar,24,Female,ST,Rural,7105,Farmer,No,Married,No
41,Bihar,60,Female,ST,Rural,60235,Farmer,Yes,Married,No
42,Madhya Pradesh,52,Male,General,Rural,134199,Employed,No,Married,No
43,Maharashtra,40,Male,SC,Rural,454696,Self-employed,No,Married,No
44,Telangana,63,Other,ST,Urban,136293,Farmer,No,Married,Yes
45,Bihar,20,Other,General,Rural,28587,Student,No,Unmarried,No
46,Telangana,38,Other,OBC,Urban,720033,Employed,No,Married,No
47,Madhya Pradesh,37,Other,ST,Rural,90,Farmer,No,Married,No
48,Andhra Pradesh,31,Male,General,Urban,1588124,Employed,No,Married,Yes
49,Bihar,66,Male,OBC,Rural,56961,Farmer,No,Married,Yes
50,Uttar Pradesh,22,Other,General,Urban,1566690,Employed,No,Married,No
51,Andhra Pradesh,59,Male,General,Urban,887418,Self-employed,No,Married,No
52,Uttar Pradesh,62,Male,ST,Rural,10531,Farmer,No,Married,No
53,Uttar Pradesh,53,Other,General,Urban,1347099,Employed,No,Married,No
54,Rajasthan,65,Other,General,Urban,939477,Employed,No,Married,No
55,Rajasthan,35,Female,General,Urban,1436770,Employed,No,Married,Yes
56,Uttar Pradesh,62,Other,ST,Rural,44868,Farmer,No,Married,No
57,Andhra Pradesh,44,Other,SC,Urban,137800,Farmer,Yes,Married,No
58,Andhra Pradesh,37,Other,SC,Urban,246353,Daily Wage Worker,No,Married,Yes
59,Andhra Pradesh,49,Other,ST,Rural,79302,Farmer,No,Unmarried,Yes
60,Rajasthan,57,Male,General,Urban,833688,Employed,No,Married,No
